InspectionID,DefectCategory,SeverityWeight
1649,Late Delivery,3.5
1663,Poor Quality,3.5
1667,Late Delivery,3.5
1672,Wrong Item,4.0
1673,Wrong Item,4.0
1680,INVENT,3.5
1683,Wrong Item,3.5
1704,Wrong Item,4.0
1717,Different Product,4.0
1718,Late Delivery,3.5
1726,Falta de respeito com consumidor,3.5
1752,Missing Parts,3.5
1754,Poor Quality,3.5
1756,INVENT,3.5
1757,Late Delivery,3.5
1760,Late Delivery,3.5
1768,Wrong Item,4.0
1771,Poor Quality,3.5
1773,Poor Quality,3.5
1775,Bom produto,1.0
1782,Missing Parts,3.5
1790,INVENT,2.0
1802,Missing Parts,3.5
1805,Late Delivery,3.5
1809,Product Defect,4.0
1826,Missing Parts,4.0
1832,N/A Sent,5.0
1847,Fit for Purpose,3.5
1859,Wrong Item,4.0
1874,Wrong Item,3.5
1875,Late Delivery,4.0
1885,Missing Parts,4.0
1905,Late Delivery,3.5
1925,INVENT,2.5
1927,Damaged Goods,3.5
1928,Safety Issue,3.5
1934,Late Delivery,3.5
1937,Missing Parts,4.0
1939,Poor Fit,3.5
1941,Late Delivery,3.5
1948,No Issue,1.0
1959,Late Delivery,4.0
1966,Desconhecido,2.5
1972,Wrong Item,3.5
2002,Wrong Item,4.0
2011,Wrong Item,3.5
2025,Late Delivery,3.5
2026,Late Delivery,3.5
2046,Late Delivery,3.5
2073,Poor Quality,4.0
2080,Wrong Item,3.5
2089,Color Mismatch,3.5
2093,Wrong Item,4.0
2095,Missing Parts,3.5
2096,Item Never Arrived,5.0
2119,Poor Quality,3.5
2124,Missing Parts,3.5
2132,Wrong Item,4.0
2141,Late Delivery,3.5
2155,Late Delivery,4.0
2160,Defective Packaging,3.5
2169,Material Mismatch,4.0
2175,Wrong Item,3.5
2181,Late Delivery,4.0
2183,Espero Nunca Mais,3.5
2187,Wrong Item,3.5
2188,Voltage Mismatch,3.5
2196,Late Delivery,3.5
2210,Poor Quality,4.0
2211,Poor Quality,4.0
2224,Wrong Item,4.0
2226,Late Delivery,4.0
2230,Vazamento do Cartucho,4.0
2232,Late Delivery,3.5
2237,Late Delivery,4.0
2241,INVENT,1.0
2245,Late Delivery,3.5
2276,Late Delivery,3.5
2277,Damaged Goods,3.5
2281,Late Delivery,3.5
2292,Wrong Item,3.5
2300,Wrong Item,4.0
2317,Late Delivery,3.5
2337,Wrong Item,3.5
2338,Late Delivery,4.0
2345,Late Delivery,4.0
2346,Poor Quality,3.5
2347,Late Delivery,2.0
2352,Wrong Item,4.0
2362,Damaged Goods,3.5
2364,Late Delivery,3.5
2366,Wrong Item,4.0
2369,Wrong Item,3.5
2380,Wrong Item,3.5
2382,Wrong Item,3.5
2384,INVENT,3.5
2392,Late Delivery,3.5
2394,Product Variance,3.5
2395,Wrong Item,4.0
2401,Wrong Item,4.0
2403,No Delivery,3.0
2408,Late Delivery,4.0
2411,Missing Parts,4.0
2418,Late Delivery,4.0
2437,Wrong Item,3.5
2447,Late Delivery,3.5
2458,Poor Quality,4.0
2467,Late Delivery,3.5
2478,INVENT,1.0
2489,No Fit,1.0
2494,Missing Parts,3.5
2514,Late Delivery,3.5
2516,Wrong Item,4.0
2517,Late Delivery,4.0
2519,Wrong Item,4.0
2523,Delayed Order,3.5
2530,Wrong Item,4.0
2537,Not Received,5.0
2547,Late Delivery,3.5
2567,No Problema,1.0
2568,Late Delivery,3.5
2580,Late Delivery,3.5
2584,Poor Quality,4.0
2585,Late Delivery,4.0
2586,Late Delivery,4.0
2605,Rude Courier,3.5
2610,No Fit,1.0
2612,Not Received,5.0
2616,Wrong Item,3.5
2618,Satisfeito,1.0
2624,Late Delivery,4.0
2630,Late Delivery,3.5
2632,Missing Parts,3.5
2642,Wrong Item,4.0
2647,No Fit,3.5
2649,Wrong Item,4.0
2652,Wrong Item,4.0
2669,Missing Parts,3.5
2671,Wrong Item,4.0
2681,INVENT,3.5
2700,Product Variance,3.5
2703,Late Delivery,3.5
2713,Wrong Item,4.0
2714,Late Delivery,3.5
2716,Late Delivery,4.0
2728,No Issue,1.0
2731,Battery Issues,4.0
2742,Late Delivery,3.5
2749,Pacote Aberto,2.5
2762,INVENT,1.0
2765,No Issue Found,1.0
2779,Late Delivery,3.5
2792,Wrong Item,3.5
2803,INVENT,1.0
2813,Poor Quality,3.5
2824,Late Delivery,3.5
2829,Late Delivery,4.0
2839,Wrong Item,3.5
2865,Late Delivery,4.0
2870,Poor Quality,4.0
2874,Late Delivery,3.5
2893,Wrong Item,4.0
2896,Late Delivery,3.5
2902,Late Delivery,4.0
2906,Non Functional,4.0
2909,Late Delivery,3.5
2912,Entrega Atrasada,2.0
2921,Presentation Issues,3.5
2926,Missing Parts,3.5
2939,Missing Parts,3.5
2943,Late Delivery,3.5
2949,INVENT,1.0
2950,INVENT,3.5
2962,INVENT,3.5
2971,Wrong Item,3.5
2984,Wrong Item,3.5
2985,Late Delivery,3.5
2991,Poor Quality,4.0
2992,No Issue,1.0
3007,Wrong Item,4.0
3008,Late Delivery,3.5
3010,Wrong Item,4.0
3014,Wrong Item,4.0
3016,Late Delivery,3.5
3022,Missing Parts,3.5
3026,Late Delivery,4.0
3029,Late Delivery,3.5
3037,Missing Parts,3.5
3038,Late Delivery,4.0
3046,Wrong Item,3.5
3050,INVENT,1.0
3066,Cancelled Purchase,3.5
3076,Wrong Item,3.5
3082,Wrong Item,4.0
3098,Wrong Item,4.0
3102,Wrong Item,4.0
3107,Late Delivery,3.5
3114,Late Delivery,4.0
3122,Missing Parts,3.5
3134,Wrong Item,4.0
3139,Wrong Item,3.5
3141,Late Delivery,3.5
3145,Wrong Item,4.0
3162,No Arrival,5.0
3166,Category,2.5
3172,Missing Parts,2.0
3181,Wrong Item,4.0
3191,No Issue,1.0
3193,Late Delivery,3.5
3196,Late Delivery,3.5
3198,Late Delivery,4.0
3200,Wrong Item,4.0
3204,Wrong Item,4.0
3209,Wrong Item,3.5
3212,Late Delivery,3.5
3222,Late Delivery,3.5
3237,Late Delivery,3.5
3242,INVENT,3.5
3246,Poor Quality,4.0
3249,Late Delivery,4.0
3250,Wrong Item,3.5
3255,Late Delivery,3.5
3258,Wrong Item,3.5
3259,Cancelled Order,3.5
3261,Late Delivery,3.5
3269,Late Delivery,4.0
3272,Poor Quality,3.5
3274,Excellent Product,1.0
3295,INVENT,3.5
3300,Late Delivery,3.5
3303,No Delivery,4.0
3312,INVENT,1.0
3314,Wrong Item,4.0
3316,INVENT,3.5
3320,Non Functional,4.0
3322,INVENT,3.5
3323,Poor Quality,4.0
3328,Missing Parts,3.5
3329,Wrong Item,3.5
3330,Lixo,3.5
3334,Late Delivery,3.5
3341,Missing Parts,4.0
3348,Late Delivery,4.0
3350,Late Delivery,3.5
3355,Poor Quality,4.0
3374,Wrong Item,4.0
3380,Devolução do Produto,3.5
3388,Non Adhesive Film,3.5
3393,Late Delivery,3.5
3395,Late Delivery,3.5
3397,Late Delivery,3.5
3403,Missing Parts,3.5
3423,Wrong Item,3.5
3429,Product Mismatch,3.5
3442,INVENT,3.5
3451,Poor Quality,4.0
3460,Wrong Item,3.5
3475,Wrong Item,3.5
3487,Poor Quality,4.0
3489,Product Shortage,3.5
3493,Late Delivery,3.5
3498,Missing Parts,3.5
3499,Damaged Goods,4.0
3501,Wrong Item,3.5
3511,Late Delivery,4.0
3525,INVENT,3.5
3528,Late Delivery,3.5
3530,Pouco Qualidade,3.5
3536,Wrong Item,4.0
3548,Late Delivery,3.5
3579,Delayed Communication,3.5
3588,Late Delivery,3.5
3595,Wrong Item,4.0
3596,Late Delivery,4.0
3602,Missing Parts,3.5
3603,Late Delivery,3.5
3604,Poor Quality,4.0
3607,Wrong Item,4.0
3616,Produto de péssima qualidade,4.0
3622,Late Delivery,3.5
3624,Product Fraud,5.0
3628,Wrong Item,3.5
3631,Wrong Item,4.0
3638,Wrong Item,4.0
3640,Late Delivery,3.5
3641,Poor Quality,4.0
3644,Missing Parts,3.5
3646,Missing Parts,4.0
3649,Late Delivery,4.0
3651,Wrong Item,4.0
3653,INVENT,1.0
3660,No Delivery,3.0
3665,Late Delivery,4.0
3669,Not Received,5.0
3682,Late Delivery,4.0
3701,Wrong Item,4.0
3706,Poor Quality,4.0
3712,INVENT,1.0
3720,Damaged Goods,3.5
3729,Missing Parts,3.5
3743,Late Delivery,3.5
3744,Late Delivery,3.5
3751,Not Received,3.5
3757,Poor Quality,3.5
3764,Late Delivery,3.5
3767,Missing Parts,4.0
3774,Wrong Item,4.0
3779,Product Variance,3.5
3783,Propaganda Enganosa,3.5
3792,Wrong Item,4.0
3796,Impossível Avaliar,3.5
3803,No Delivery,5.0
3817,Late Delivery,3.5
3824,Wrong Item,4.0
3827,Late Delivery,3.5
3848,INVENT,1.0
3852,Late Delivery,3.5
3859,Wrong Item,4.0
3869,Missing Parts,3.5
3878,Wrong Item,4.0
3886,INVENT,3.5
3887,Size Mismatch,3.5
3891,No Issue Found,1.0
3893,Late Delivery,3.5
3901,Late Delivery,4.0
3905,INVENT,3.5
3908,No Delivery,3.5
3916,Late Delivery,3.5
3917,Missing Parts,3.5
3923,Late Delivery,3.5
3929,Late Delivery,3.5
3932,Late Delivery,4.0
3953,No Issue,1.0
3961,Wrong Item,4.0
3969,Late Delivery,3.5
3988,Late Delivery,3.5
4000,INVENT,3.5
4004,Wrong Item,3.5
4007,Late Delivery,3.5
4038,Late Delivery,3.5
4050,Missing Parts,3.5
4057,Late Delivery,3.5
4058,Missing Parts,3.5
4065,Missing Parts,4.0
4069,Late Delivery,3.5
4076,Late Delivery,2.0
4090,Late Delivery,4.0
4091,Late Delivery,3.5
4093,Mis Match,4.0
4095,Poor Quality,3.5
4108,Pedido Incompleto,4.0
4118,Rude Courier,3.5
4131,Wrong Item,3.5
4151,Non-Received,5.0
4152,Late Delivery,4.0
4154,Late Delivery,3.5
4162,Late Delivery,3.5
4190,Missing Parts,3.5
4200,Late Delivery,3.5
4205,Wrong Item,4.0
4206,Late Delivery,3.5
4209,Late Delivery,3.5
4211,Missing Parts,3.5
4221,No New Category,5.0
4237,Late Delivery,4.0
4240,No Delivery,4.0
4254,Missing Parts,3.5
4264,Wrong Item,3.5
4268,Late Delivery,3.5
4278,No New Category,3.5
4281,Late Delivery,3.5
4290,No Issue,1.0
4295,Missing Parts,3.5
4301,Poor Quality,4.0
4312,Late Delivery,3.5
4313,Wrong Item,3.5
4315,Wrong Item,4.0
4318,Late Delivery,3.5
4319,Late Delivery,3.5
4334,Missing Parts,3.5
4338,No Response,3.5
4341,Misleading Ad,3.5
4352,Late Delivery,3.5
4361,Wrong Item,4.0
4368,Late Delivery,1.0
4382,Product Issue,3.5
4406,Wrong Item,4.0
4442,Late Delivery,3.5
4445,Wrong Item,4.0
4450,Late Delivery,3.5
4460,Late Delivery,4.0
4474,No Fit,3.5
4485,No Fit,1.0
4497,No Issue Found,1.0
4498,Late Delivery,3.5
4503,Wrong Item,4.0
4512,Poor Quality,3.5
4514,Missing Parts,3.5
4521,Missing Parts,3.5
4530,Missing Parts,3.5
4537,N/A,1.0
4547,Late Delivery,4.0
4548,Late Delivery,3.5
4552,Cancellation Issue,3.5
4572,Late Delivery,3.5
4576,INVENT,3.5
4579,INVENT,3.5
4588,Wrong Item,3.5
4589,Poor Quality,3.5
4593,Produto Chegou Em Perfeito Estado E Com Antecedencia,1.0
4598,Poor Quality,4.0
4601,Product Variance,3.5
4605,Missing Parts,3.5
4610,Late Delivery,3.5
4616,Wrong Item,4.0
4623,Damaged Goods,4.0
4647,Price Mismatch,4.0
4667,Wrong Item,4.0
4682,INVENT,1.0
4683,Late Delivery,3.5
4684,Late Delivery,4.0
4701,Late Delivery,3.5
4713,Pedido e entrega sem detalhes,3.5
4714,Wrong Item,3.5
4722,Fit Issue,3.5
4723,Defective Product,4.0
4732,Poor Quality,3.0
4742,Missing Parts,3.5
4743,Wrong Item,3.5
4744,Late Delivery,3.5
4747,Poor Quality,3.5
4751,Poor Quality,3.5
4752,Wrong Item,3.5
4754,Late Delivery,3.5
4763,Late Delivery,3.5
4778,Wrong Item,4.0
4780,Wrong Item,4.0
4783,Late Delivery,3.5
4792,Missing Parts,4.0
4796,Poor Quality,3.5
4801,Wrong Item,3.5
4802,Late Delivery,3.5
4811,Fraud,5.0
4820,Poor Quality,3.0
4825,Poor Quality,3.5
4829,Late Delivery,3.5
4840,Late Delivery,4.0
4846,No Fit,3.5
4860,Late Delivery,4.0
4867,Late Delivery,3.5
4873,INVENT,3.5
4876,Não Entregaram,5.0
4917,Late Delivery,4.0
4918,Missing Parts,3.5
4919,Late Delivery,3.5
4956,Não Entendido,4.0
4968,nnnn,3.5
4975,Wrong Item,4.0
4981,No Delivery,5.0
4982,Late Delivery,3.5
4990,Missing Parts,3.5
4995,Late Delivery,3.5
5002,Late Delivery,3.5
5014,Wrong Item,4.0
5017,Poor Quality,3.5
5029,Wrong Item,3.5
5030,Missing Parts,3.5
5034,Missing Parts,3.5
5039,Late Delivery,3.5
5040,Wrong Item,3.5
5041,Late Delivery,3.5
5065,Late Delivery,3.5
5083,Late Delivery,3.5
5095,Late Delivery,3.5
5097,INVENT,3.5
5101,Late Delivery,4.0
5102,Wrong Item,4.0
5104,Late Delivery,3.5
5105,No Issue,1.0
5106,Missing Parts,3.5
5129,Late Delivery,3.5
5130,Late Delivery,3.5
5139,Late Delivery,3.5
5140,Wrong Item,4.0
5143,Late Delivery,4.0
5144,Wrong Item,3.5
5157,No Fit,1.0
5158,No Delivery,3.5
5162,INVENT,3.5
5164,Invent,3.5
5169,No Issue,1.0
5172,Wrong Item,3.5
5185,Not Conforming,4.0
5192,Insufficient Items,3.5
5196,Late Delivery,4.0
5217,Late Delivery,4.0
5224,Late Delivery,3.5
5231,Late Delivery,4.0
5234,Late Delivery,3.5
5241,Late Delivery,3.5
5252,Wrong Item,4.0
5254,Wrong Item,3.5
5266,Wrong Item,3.5
5267,Wrong Item,3.5
5276,Wrong Item,3.5
5281,Late Delivery,3.5
5282,Misaligned,3.5
5284,Produto Divergente,4.0
5297,Wrong Item,3.5
5298,Damaged Goods,4.0
5330,Late Delivery,3.5
5333,Missing Parts,3.5
5343,Mismatch,3.5
5349,Late Delivery,4.0
5354,Wrong Item,4.0
5359,Wrong Item,4.0
5363,Missing Parts,3.5
5364,Late Delivery,3.5
5365,Late Delivery,3.5
5371,Wrong Item,4.0
5377,No Delivery,5.0
5381,Wrong Item,3.5
5383,Late Delivery,4.0
5387,Damaged Goods,4.0
5397,INVENT,3.5
5398,Produto de péssima qualidade,4.0
5400,Late Delivery,4.0
5406,Late Delivery,3.5
5423,Late Delivery,3.5
5425,Late Delivery,3.5
5429,Poor Quality,3.5
5434,Late Delivery,4.0
5436,Wrong Item,4.0
5446,Unfulfilled Order,3.5
5463,Late Delivery,4.0
5477,Poor Quality,3.5
5491,INVENT,1.0
5494,Late Delivery,4.0
5498,Late Delivery,3.5
5501,INVENT,3.5
5502,Late Delivery,3.5
5504,Late Delivery,4.0
5509,Late Delivery,3.5
5511,Late Delivery,4.0
5512,No Arrival,5.0
5523,Late Delivery,4.0
5529,Late Delivery,4.0
5542,Late Delivery,3.5
5543,Non-Protection,4.0
5548,Late Delivery,3.5
5574,Pelicula Quebrada,2.5
5582,Poor Quality,4.0
5587,Poor Quality,3.0
5592,Late Delivery,4.0
5594,No Issue,1.0
5604,Wrong Item,3.5
5607,Missing Parts,3.5
5616,Missing Parts,3.5
5617,Late Delivery,3.5
5627,Poor Quality,4.0
5629,Missing Parts,3.5
5630,Wrong Item,3.5
5632,Wrong Item,4.0
5655,Wrong Item,4.0
5659,INVENT,3.5
5662,Late Delivery,3.5
5667,Wrong Item,4.0
5670,Poor Quality,4.0
5676,Wrong Item,4.0
5678,Late Delivery,3.5
5702,Wrong Item,4.0
5707,Late Delivery,3.5
5708,Poor Quality,4.0
5710,Fraud,5.0
5734,Late Delivery,3.5
5741,Damaged Goods,4.0
5743,Missing Parts,4.0
5762,Missing Parts,3.5
5765,Late Delivery,3.5
5768,Product Variance,2.0
5774,Category,2.5
5779,Late Delivery,3.5
5781,Late Delivery,3.5
5783,No Delivery,5.0
5786,Cancelled Orders,3.5
5788,Late Delivery,3.5
5792,Missing Parts,3.5
5793,Late Delivery,4.0
5802,Wrong Item,4.0
5812,Missing Parts,3.5
5816,Late Delivery,3.5
5822,Late Delivery,4.0
5824,Late Delivery,3.5
5828,Missing Parts,3.5
5835,No Issue Reported,1.0
5836,No Arrival,5.0
5851,Late Delivery,4.0
5852,Late Delivery,3.5
5853,Cancelled Order,3.5
5872,Late Delivery,4.0
5874,No Issue Found,1.0
5880,Late Delivery,3.5
5886,Noise Issue,3.5
5889,Late Delivery,3.5
5895,Poor Quality,3.5
5903,Late Delivery,3.5
5909,Missing Parts,4.0
5915,Late Delivery,3.5
5917,Mislead,3.5
5927,Missing Parts,3.5
5928,Missing Parts,3.5
5930,Late Delivery,3.5
5936,Non Functional,4.0
5940,Wrong Item,4.0
5944,Missing Parts,3.5
5945,No Delivery,5.0
5947,Small Scuff,3.5
5950,No Delivery,5.0
5958,Damaged Goods,3.5
5961,Super Satisfeita,1.0
5993,Late Delivery,3.5
5996,INVENT,1.0
5997,Invent a new category,2.5
5998,Wrong Item,3.5
5999,Misaligned,3.5
6000,Late Delivery,3.5
6003,No Issue,1.0
6005,Non Arrival,5.0
6012,Poor Quality,3.0
6017,INVENT,3.5
6020,NAO,1.0
6032,Poor Quality,3.5
6045,Wrong Item,4.0
6046,Wrong Item,3.5
6049,Wrong Item,3.5
6053,Late Delivery,4.0
6057,Late Delivery,3.5
6082,Late Delivery,3.5
6093,Wrong Item,4.0
6096,Delayed Refund,3.5
6110,Late Delivery,4.0
6114,Late Delivery,3.5
6115,Late Delivery,3.5
6119,Late Delivery,3.5
6121,INVENT,1.0
6125,Excellent Product,1.0
6128,Late Delivery,4.0
6132,Late Delivery,3.5
6160,No Issue,1.0
6161,Late Delivery,3.5
6170,Late Delivery,3.5
6180,Late Delivery,3.5
6188,Entrega rápida e correta,1.0
6199,Late Delivery,3.5
6202,Missing Parts,3.5
6203,Late Delivery,4.0
6207,No Delivery,5.0
6224,Grau incorretp,3.5
6226,Wrong Item,5.0
6232,Wrong Item,3.5
6239,Cancelled Order,2.5
6256,Late Delivery,3.5
6273,No Issue,1.0
6288,Late Delivery,3.5
6290,Late Delivery,3.5
6292,Wrong Item,4.0
6297,Wrong Item,3.5
6298,Wrong Item,3.5
6304,Wrong Item,4.0
6315,Late Delivery,3.5
6316,INVENT,2.0
6324,INVENT,3.5
6325,Poor Quality,3.5
6331,Late Delivery,3.5
6332,Late Delivery,3.5
6336,Mismatched Product,4.0
6338,Late Delivery,4.0
6341,Poor Quality,4.0
6350,Produto Falso,4.0
6353,Damaged Goods,4.0
6361,INVENT,1.0
6363,Wrong Item,4.0
6368,Missing Parts,3.5
6372,No Issue,1.0
6375,Missing Parts,3.5
6380,Late Delivery,3.5
6385,Poor Quality,3.5
6391,Wrong Item,4.0
6397,Cancelled Order,3.5
6406,Late Delivery,3.5
6411,Late Delivery,3.5
6425,Poor Quality,3.5
6427,Poor Quality,4.0
6436,Late Delivery,3.5
6444,Camera Ruim,3.5
6451,Late Delivery,3.5
6474,No Arrival,5.0
6479,Wrong Item,4.0
6480,Wrong Item,4.0
6482,Late Delivery,3.5
6486,Late Delivery,3.5
6508,Late Delivery,3.5
6512,Bad Arrival,4.0
6516,INVENT,2.5
6525,INVENT,3.5
6528,Poor Quality,3.5
6531,Late Delivery,4.0
6541,No Pacote,5.0
6545,Descosto,3.5
6546,Wrong Item,4.0
6560,Damaged Goods,4.0
6566,Late Delivery,3.5
6569,Late Delivery,3.5
6578,Late Delivery,3.5
6579,Late Delivery,4.0
6580,Late Delivery,3.5
6581,INVENT,3.5
6586,Poor Quality,3.5
6596,Late Delivery,4.0
6601,Missing Parts,3.5
6609,Late Delivery,4.0
6623,Wrong Item,4.0
6624,Missing Parts,3.5
6641,Late Delivery,4.0
6648,Damaged Goods,4.0
6651,Late Delivery,4.0
6654,INVENT,3.5
6662,Missing Parts,3.5
6664,Produto com Defeito,4.0
6678,Extremely Fragile,4.0
6683,Wrong Item,3.5
6701,Late Delivery,4.0
6705,Missing Parts,4.0
6707,Late Delivery,3.5
6708,Late Delivery,3.5
6716,Late Delivery,3.5
6731,No Issue,1.0
6732,INVENT,3.5
6734,Late Delivery,3.5
6758,INVENT,3.5
6759,Late Delivery,3.5
6762,Incomplete Product,3.5
6765,Missing Parts,3.5
6769,Late Delivery,4.0
6773,Late Delivery,3.5
6785,Late Delivery,3.5
6788,Inconvenience,3.5
6794,Late Delivery,3.5
6796,Missing Parts,3.5
6808,Late Delivery,3.5
6819,Late Delivery,3.5
6825,No Delivery,5.0
6829,Late Delivery,3.5
6841,Late Delivery,3.5
6845,Poor Quality,3.5
6852,Wrong Item,4.0
6856,Late Delivery,3.5
6858,Wrong Item,4.0
6859,Late Delivery,4.0
6860,Late Delivery,4.0
6867,Damaged Goods,3.5
6868,Not Received,5.0
6869,Wrong Item,3.5
6891,Poor Quality,3.0
6892,No Delivery,5.0
6895,Fake Product,4.0
6896,Missing Parts,3.5
6906,Poor Quality,4.0
6914,Late Delivery,3.5
6925,Wrong Item,4.0
6935,Late Delivery,3.5
6956,Poor Quality,4.0
6957,Misinfo,3.5
6963,Wrong Item,3.5
6969,Wrong Item,4.0
6975,Poor Quality,4.0
6976,Wrong Item,4.0
6985,Late Delivery,4.0
6988,Late Delivery,3.5
6997,Late Delivery,3.5
6999,Late Delivery,3.5
7007,Late Delivery,4.0
7009,Wrong Item,4.0
7026,Cancelamento da Compra,3.5
7031,Late Delivery,3.5
7059,INVENT,3.5
7066,Late Delivery,3.5
7067,Poor Quality,3.5
7079,Missing Parts,3.5
7081,Wrong Item,4.0
7082,Not Received,5.0
7084,Wrong Item,3.5
7093,Wrong Item,4.0
7105,Late Delivery,3.5
7124,Late Delivery,3.5
7142,Aguardando o produto,1.0
7147,INVENT,1.0
7150,Late Delivery,3.5
7151,Late Delivery,3.5
7167,Wrong Item,3.5
7169,Poor Quality,4.0
7171,Missing Parts,2.0
7173,No Delivery,5.0
